city,pm2_5,pm10,co,no2,o3,so2,nh3,aqi,timestamp
Karachi,61.76,135.67,279.34,2.49,131.77,8.17,2.29,4,2025-10-26 05:51:50.030814
Lahore,94.09,134.06,822.16,5.47,91.08,4.16,9.72,5,2025-10-26 05:51:50.747663
Islamabad,112.07,197.77,791.87,10.57,90.2,3.82,23.21,5,2025-10-26 05:51:51.437527
Karachi,61.76,135.67,279.34,2.49,131.77,8.17,2.29,4,2025-10-26 05:52:17.316011
Lahore,94.09,134.06,822.16,5.47,91.08,4.16,9.72,5,2025-10-26 05:52:17.598621
Islamabad,112.07,197.77,791.87,10.57,90.2,3.82,23.21,5,2025-10-26 05:52:17.880475
Karachi,61.76,135.67,279.34,2.49,131.77,8.17,2.29,4,2025-10-26 05:52:47.955181
Lahore,94.09,134.06,822.16,5.47,91.08,4.16,9.72,5,2025-10-26 05:52:48.224501
Islamabad,112.07,197.77,791.87,10.57,90.2,3.82,23.21,5,2025-10-26 05:52:48.501373
Karachi,61.76,135.67,279.34,2.49,131.77,8.17,2.29,4,2025-10-26 05:53:01.631480
Lahore,94.09,134.06,822.16,5.47,91.08,4.16,9.72,5,2025-10-26 05:53:03.037213
Islamabad,112.07,197.77,791.87,10.57,90.2,3.82,23.21,5,2025-10-26 05:53:05.473764
